label,prediction
1,0.2605367786964316
1,0.1297156433489791
1,0.9915385727986465
0,0.5935135767483969
1,0.9991947930697281
1,0.9417421959012364
0,0.0325078510904563
1,0.5225842550662925
1,0.9937979003527919
0,0.08607975126051748
1,0.8382426941090496
1,0.8079498318012961
1,0.9814609270803913
1,0.9999714754623079
1,0.9967487911016522
1,0.9895890323838278
0,0.04292767715686047
1,0.7347219185601833
1,0.9152656659277925
0,0.04350552795770344
1,0.9891109008455067
1,0.8824885345585212
0,0.005223461565112948
0,0.07052388007604332
0,5.660339761392202e-13
1,0.999602140277141
0,0.9999717969229212
0,0.04621074142341623
1,0.9892122512728936
1,0.8764659316882388
1,0.9975639125416241
1,0.9574913536459196
1,0.8200869517714942
1,0.9753420201073343
0,0.020527368526297645
0,0.024280282908501913
0,0.9990392831736848
0,0.9998972485476703
0,0.35717174400293494
1,0.997944204533895
1,0.917205652722248
1,0.7424786638529588
0,0.4042134857669639
0,0.3728906350250116
0,0.7431215270777284
1,0.9883859506361176
1,0.022821277670929164
0,0.006155517911006341
1,0.9910242098640668
1,0.940025510377508
1,0.9976564399584423
0,0.06115591447754765
1,0.9686987515489853
0,0.030979819937571897
1,0.06384436942690934
0,0.005752282659259943
0,0.0001693667572320323
0,0.008393964641666427
1,0.844018177780542
1,0.989822882774368
0,2.1452623178276635e-07
1,0.9675448697877275
0,0.9964586247970267
0,0.0017314728548156006
1,0.990900552840848
0,0.00011231721722952727
0,0.0630167670303794
1,0.9542801175285068
0,0.023975110573544817
0,0.994440335414959
1,0.5270396309816476
1,0.9052446948072106
0,0.10188891828926085
0,0.1817856415056563
1,0.992153390516585
0,0.0004668727944824963
0,0.008623171320895167
1,0.9987479965002461
1,0.9924742561084059
1,0.9095131752914863
1,0.9924692456569468
1,0.9999999914889676
1,0.9996941748233545
1,0.9991216079161632
1,0.6040083858160136
1,0.994561061479955
0,0.007248776922424844
0,0.43167947203848056
0,0.0013651402671877714
1,0.9015433448979563
1,0.9968454344305603
0,0.006383632135441233
1,0.19178344820061083
0,0.09766123502563481
1,0.7689320855927056
