,log_prob_0,log_prob_1,higher_prob,label,calibrated
993,1.8287348,-0.032704145,0,0,1
859,1.5442829,0.7631781,0,0,1
298,2.3670132,0.9914458,0,1,0
553,1.8085548999999999,0.6622802,0,1,0
672,1.3183098,0.3663833,0,1,0
971,1.6973728,0.6653342,0,1,0
27,2.4025084999999997,0.64071643,0,0,1
231,1.8404576000000001,0.24342039,0,0,1
306,2.3686314,0.9883485999999999,0,1,0
706,1.3554237,1.2099578000000002,0,1,0
496,1.8248341000000001,0.52596337,0,1,0
558,2.5726304,0.5395829000000001,0,0,1
784,1.2159993999999998,0.44775623,0,1,0
239,1.255829,0.8559841,0,1,0
578,1.6536762999999999,0.5877696,0,0,1
55,1.6004648000000001,0.23472016,0,0,1
906,2.415021,2.0907240000000002,0,1,0
175,2.6018738999999997,0.7040576,0,0,1
14,1.2804693999999999,0.8606219,0,1,0
77,1.3511174,0.36722323,0,0,1
31,1.9957613999999997,0.18223196,0,0,1
481,2.4002232999999995,-0.6053621,0,0,1
310,1.5011826000000001,-0.0006506144999999999,0,0,1
311,0.83369887,0.045773596,0,0,1
883,1.9153334,0.9347082,0,0,1
788,0.8340614,0.77836776,0,1,0
45,1.8776066999999999,0.27594966,0,0,1
103,1.7999728,0.6894568,0,0,1
760,2.3025646,1.1227562,0,0,1
1,1.9558573000000001,0.33416963,0,1,0
823,1.2112918,0.8361888000000001,0,1,0
710,2.1517646,1.269241,0,0,1
614,0.6289216999999999,-1.6117866000000003,0,1,0
790,0.9180082,-1.4446776000000001,0,0,1
408,1.1376095,-0.67808974,0,1,0
736,2.1914072,0.22112209,0,0,1
957,1.5729114,1.2115163,0,1,0
366,3.0121689999999997,1.1035788,0,1,0
918,1.2881818,0.7929831999999999,0,1,0
267,2.605341,0.8986506999999999,0,0,1
230,2.0064476000000004,0.08617616,0,0,1
996,1.6356213,-1.0464151,0,0,1
635,2.205875,0.02756852,0,0,1
698,1.7700488999999997,0.81790507,0,0,1
251,1.7184588,0.58307135,0,1,0
783,1.4427676,0.55515635,0,0,1
819,1.6122074,0.53065556,0,0,1
141,1.7782657,0.7306249,0,0,1
316,1.2873466,-0.59672254,0,1,0
587,1.9723129000000001,0.93564653,0,0,1
331,2.6043757999999997,0.3490218,0,0,1
295,1.4764426000000002,1.4294387,0,1,0
262,1.0606546000000001,0.26135549999999996,0,0,1
432,1.947973,-0.005396813,0,0,1
862,1.7933396000000001,0.27218214,0,0,1
582,0.99590373,0.6767901,0,0,1
272,1.4619483999999998,0.5188417000000001,0,1,0
270,0.9318608,0.085905135,0,1,0
987,0.97801244,0.15989345,0,0,1
