,log_prob_0,log_prob_1,higher_prob,label,calibrated
993,2.8005378,-2.5576193,0,0,1
859,-3.160119,2.822627,1,1,1
298,-2.315634,1.3416181,1,1,1
553,-1.5869302,-0.81434417,1,1,1
672,2.8779626,-2.0313838,0,0,1
971,-0.052494407,-1.0767839,0,0,1
27,1.3650073999999999,-4.018347,0,0,1
231,-0.27902848,-0.23655832,1,0,0
306,-4.3496027,-3.7929741999999997,1,1,1
706,-1.9465549,-0.74762356,1,0,0
496,2.6797369,-0.08775806400000001,0,0,1
558,0.38591433,0.8324153000000001,1,1,1
784,-1.1294045,-0.61321497,1,1,1
239,-3.3387803999999996,1.2033801000000002,1,1,1
578,-0.59875023,1.785639,1,1,1
55,0.16689393,-2.8385632000000003,0,0,1
906,-1.6444932,-1.1953088,1,1,1
175,1.2308892,0.21250468,0,0,1
14,2.4947915000000003,-3.2198882,0,0,1
77,-1.4011555,-1.1284923999999998,1,1,1
31,4.1070533,-4.5176377,0,0,1
481,3.5252529999999997,-2.3707863999999996,0,0,1
310,4.200375599999999,-3.7838297,0,0,1
311,-4.1002684,3.651072,1,1,1
883,1.702394,-4.031798,0,0,1
788,-0.42733827,-3.8803019999999995,0,0,1
45,-2.8675732999999997,-2.1389412999999995,1,1,1
103,-2.4578907,-1.0958991000000002,1,1,1
760,2.9709585,-5.01205,0,0,1
1,-2.0050843,-0.9554446,1,1,1
823,-1.6977400000000002,-1.0327183000000002,1,1,1
710,-4.4242077,2.0022794999999998,1,1,1
614,-0.28848827,-0.7569866,0,0,1
790,-1.2399764,-1.6012117000000001,0,0,1
408,3.8474587999999996,-4.0565796,0,0,1
736,3.1253405,-2.848177,0,0,1
957,-1.0636896999999998,-0.28893542,1,1,1
366,0.06682202,-1.3426394,0,0,1
918,4.0686425999999996,-3.7284050000000004,0,0,1
267,2.2277489,-3.5182674,0,0,1
230,-4.7334595,-0.47825253,1,1,1
996,-0.46484175,-0.5412389,0,1,0
635,-3.3982453,-2.5295582000000003,1,1,1
698,0.36304158,0.6295873000000001,1,1,1
251,-4.262868,-1.9285961,1,1,1
783,1.5152401000000002,-2.1717103,0,0,1
819,2.2552276,-4.3674192000000005,0,0,1
141,-4.3182955000000005,1.7185328000000002,1,1,1
316,-4.8554535,0.5557001,1,1,1
587,1.6077135,-2.8589263,0,0,1
331,-0.24745658,-2.3726868999999997,0,0,1
295,-0.3125428,1.9739077,1,1,1
262,3.6199174,-4.5492725,0,0,1
432,1.0881101999999998,0.51693064,0,0,1
862,-3.9323087,2.6199567000000004,1,1,1
582,-1.650412,-0.3824573,1,1,1
272,1.382742,-1.9857711,0,0,1
270,-1.0614540000000001,-0.7570786999999999,1,1,1
987,-0.16464406,-3.769113,0,0,1
319,0.28677052,-0.37094790000000005,0,0,1
569,-2.4180284,-3.2349272,0,1,0
643,-2.9840472,2.3650917999999996,1,1,1
142,-3.5633318,2.0837111,1,1,1
202,2.168116,-3.5746870000000004,0,0,1
413,-0.13563864,-2.1275485,0,0,1
196,-0.4127372,-1.4371180000000001,0,0,1
264,-3.7191400000000003,0.6647761,1,1,1
531,-0.59652936,-0.34508705,1,0,0
252,0.63962483,-1.4289618,0,0,1
576,-2.7919192,0.46271837,1,1,1
738,-2.3992857999999995,-2.1486794999999996,1,1,1
299,-3.7167559999999997,1.3827162,1,1,1
740,-2.3212879,-2.2713919999999996,1,1,1
247,0.6660036,-2.6660150000000002,0,0,1
926,-0.11968261,-1.2329931,0,0,1
412,4.7624474,-4.4150467,0,0,1
389,-4.579625,3.4248083,1,1,1
796,-1.7104211,-0.24169090000000001,1,1,1
601,-3.9149919,-4.455556,0,0,1
654,-2.501111,-1.7641603,1,0,0
261,1.8016791,-2.1000422999999997,0,0,1
456,-3.5624852,-1.9579576,1,1,1
386,3.1568607999999996,-2.2631512000000003,0,0,1
982,3.2207513,-2.9631946,0,0,1
909,-4.0734186,1.6389711999999999,1,1,1
693,-2.4722545,-2.5851740000000003,0,1,0
236,-0.7838173,0.32857865,1,0,0
501,-3.9384089,-3.6222502999999997,1,1,1
497,1.6109219,-3.96294,0,0,1
874,-4.5378084,-2.8273587000000004,1,1,1
452,-3.9376202000000005,0.20786294,1,1,1
494,-1.0600348999999998,-1.7479200000000001,0,0,1
923,3.8996754,-4.295188400000001,0,0,1
279,3.8685126000000003,-3.6933303,0,0,1
638,-1.4418454,-0.047343015999999995,1,1,1
485,-0.15419573,-2.868591,0,0,1
568,-4.6077414,1.0639548,1,1,1
108,0.31555235,-1.4193617,0,0,1
367,-0.63643086,-0.4703251,1,0,0
644,3.1596894,-2.808926,0,0,1
785,-0.73482776,-1.1623814,0,0,1
873,-3.6199212,-3.1483672,1,1,1
65,-4.104554,0.7943775,1,1,1
902,-2.6460485,-1.3095058000000002,1,1,1
317,-2.0520023999999997,-2.1754208,0,1,0
636,-2.4314033999999998,-2.305043,1,1,1
666,2.728041,-3.2506406,0,0,1
789,-3.495028,-3.5689889999999997,0,1,0
958,2.5874342999999995,-2.8796332000000002,0,0,1
214,-3.8764646000000003,0.8600515999999999,1,1,1
97,-0.45951658,-1.2481673999999998,0,0,1
583,-0.032002598,-0.4452561,0,0,1
466,-2.8048912999999995,0.43061012,1,1,1
523,-2.3778589,-1.0353915999999999,1,1,1
255,3.5069778,-4.1837664,0,0,1
385,-3.264926,-3.010199,1,1,1
545,1.5249780000000002,-0.65076214,0,0,1
382,3.8415980000000003,-3.6222557999999996,0,0,1
489,1.6409295,-2.7413483,0,0,1
513,-0.6142993,-1.9655035,0,0,1
780,3.1297127999999996,-4.779054599999999,0,0,1
904,1.401191,-3.4698477,0,0,1
122,-2.5305986000000003,2.8026896,1,1,1
946,3.3306739999999997,-2.4590732999999996,0,0,1
60,2.3017364,-4.1871414,0,0,1
844,2.1860633,-3.2890483999999995,0,0,1
372,1.5957756,0.23246539,0,0,1
283,-1.2301981000000002,-2.219138,0,1,0
939,-3.8557116999999996,0.7137505000000001,1,1,1
608,-5.0763617,1.6202136999999999,1,1,1
495,1.2104473999999998,-0.99373364,0,0,1
630,-2.2325492000000002,-2.7494232999999997,0,0,1
596,-1.9658695,0.21026570000000003,1,1,1
713,-1.7660620999999999,-2.689222,0,1,0
753,-1.0671264,0.40962094,1,1,1
624,-1.5448055,-0.84147096,1,1,1
312,3.11994,-4.7930493,0,0,1
8,-1.0507121000000001,-1.4380716,0,0,1
529,0.7819286999999999,-1.478953,0,0,1
876,-1.0408405,-1.7540273999999998,0,1,0
101,-2.5116,-0.051154255999999995,1,1,1
615,-3.6080019999999995,0.081653774,1,1,1
520,-3.6177816,-1.4068216999999998,1,1,1
249,-2.5225562999999998,-2.385168,1,0,0
278,-2.4944997000000004,-2.367453,1,1,1
424,3.7623047999999994,-3.9299730999999998,0,0,1
384,3.1171759999999997,-4.373025,0,1,0
395,3.5542805,-3.8893154,0,0,1
54,5.015714599999999,-3.8144602999999995,0,0,1
34,-3.5918572,-3.4016330000000004,1,1,1
271,4.1125546,-3.6853418,0,0,1
30,-0.7806625,-2.5078912,0,0,1
403,-4.2436074999999995,1.3317323,1,1,1
757,-2.6427388,-3.1614918999999997,0,0,1
975,-1.8826456000000003,-2.4802191000000002,0,0,1
990,-1.0191064,-0.16551515,1,1,1
457,-3.5055192,-3.9033113,0,0,1
362,-1.2064246,-1.6885667000000002,0,0,1
860,-4.691050499999999,1.0800455,1,1,1
483,0.98660636,-2.4070244,0,0,1
580,-2.8718915000000003,-1.2475885,1,1,1
986,-0.07730687,-1.530278,0,0,1
688,-2.5909715,-0.37132215,1,1,1
864,-4.312746,-2.5859432,1,1,1
927,1.1929661,-3.2309115000000004,0,0,1
378,3.0966617999999997,-5.0051026,0,0,1
320,-2.1302938,0.4720907999999999,1,1,1
942,-2.9061449,-5.371311,0,0,1
351,3.2440047,-4.786388400000001,0,0,1
418,-0.8325178,-1.3793991,0,0,1
945,-4.923469,-4.374713,1,1,1
795,-0.32915694,-1.0187008,0,0,1
145,-4.118081,-2.5436669999999997,1,1,1
826,3.1416903,-4.2746735000000005,0,0,1
492,-1.9695748,-3.2041502,0,0,1
751,-0.41810519,-2.2150533,0,0,1
240,-3.4385345000000003,-3.3910410000000004,1,1,1
648,-4.5177,0.31821924,1,1,1
886,3.7192125,-3.5175351999999998,0,0,1
144,-3.0126104,-2.5053139,1,1,1
767,-2.4658267000000005,2.2569947,1,1,1
999,-2.7334034,-2.237021,1,1,1
467,0.15149397,-0.6384098000000001,0,1,0
315,1.0422729,1.987206,1,1,1
989,-1.6806796000000002,-1.1419173,1,0,0
922,-0.8477701999999999,-0.5745925999999999,1,1,1
717,-4.035628,1.4055661,1,1,1
458,-4.5456343,3.572512,1,1,1
773,1.4038806000000001,-1.8640324000000001,0,0,1
204,-1.9531933999999997,-2.4875228,0,0,1
834,-1.3354291999999999,1.7796797,1,1,1
832,1.7831544999999998,2.7147546,1,1,1
435,-1.1543411,1.3776680000000001,1,1,1
5,-4.6116867,0.99766225,1,1,1
769,-1.9984724999999999,-1.3664382,1,1,1
679,-2.7878642000000005,-1.8046351999999999,1,1,1
722,-4.2845945,2.3928173,1,1,1
215,-1.5737915,-1.9805514,0,0,1
653,-2.8844225,1.0386932,1,1,1
150,-5.2243824,-4.863850599999999,1,0,0
687,0.42094076,0.41571566,0,1,0
500,-0.32205752,-1.4124647,0,0,1
332,-3.2600837000000005,-3.4057946000000006,0,0,1
979,-2.048844,-4.0399714,0,0,1
817,-4.679998400000001,-4.351794,1,1,1
620,-0.49509480000000006,-0.12750608,1,1,1
814,-1.7708169999999999,-1.7419282999999999,1,1,1
516,-0.5884843000000001,-1.5006332,0,1,0
518,-1.8137848,-0.3300518,1,0,0
940,-1.8909490000000002,-4.145455999999999,0,0,1
113,-1.8752228,-2.231208,0,0,1
612,3.7546525,-5.014302,0,0,1
37,3.5783652999999997,-2.1913223,0,0,1
894,-3.1323795,0.34376472,1,1,1
895,1.8855379,-3.6510472000000003,0,0,1
992,4.6093407,-3.1870072,0,0,1
158,1.0711749,1.4275973,1,1,1
154,-3.3105083,3.2614806,1,1,1
40,-1.6767063000000002,-1.1968145000000001,1,1,1
585,-0.9863827,-0.7731928000000001,1,1,1
805,0.5200362000000001,-0.40690303,0,0,1
592,-1.9924188999999999,1.0607771000000001,1,1,1
964,4.2401285,-3.7402682,0,0,1
266,-3.0669419999999996,0.21666801,1,1,1
406,1.6877383999999997,-3.7231687999999994,0,0,1
294,-2.2087064,-0.37209433,1,1,1
604,-0.43763667,-3.6227412000000005,0,0,1
522,-4.1466293,-1.9534032,1,1,1
